date,quantitative_only_gross,quantitative_only_net,equal_weight_gross,equal_weight_net,benchmark
2024-05-08,180852.79478633156,178236.7926765723,175023.77222350246,174579.45191813362,140182.67220007678
2024-05-09,181938.92093592923,179307.20821300434,176138.18749799993,175691.03810645166,140896.33485250096
2024-05-10,180957.05904359592,178339.5487707071,175514.62003057371,175069.05364505955,141128.729104408
2024-05-13,179824.78145720047,177223.64936944473,175355.37048027175,174910.2083701764,141094.67416974768
2024-05-14,180883.60937131522,178267.16153430348,176443.72442377624,175995.79938753444,141777.2638383962
2024-05-15,182496.15329830235,179856.38031267977,178470.77495960746,178017.7039954632,143438.31603691867
2024-05-16,181143.2547437708,178523.05118463747,177578.84371295277,177128.03703073348,143139.72511426744
2024-05-17,181897.75183073903,179266.63461127965,177997.15191656366,177545.28330529094,143306.4504743479
2024-05-20,181447.3723309685,178822.7697673815,178377.18468575575,177924.3513125315,143437.7750635281
2024-05-21,181125.17900736755,178505.2369104064,178735.03979987185,178281.2979655194,143796.63833857307
2024-05-22,181055.83510650476,178436.89605619916,178520.76743461678,178067.5695581596,143407.50694260182
2024-05-23,179141.77924494116,176550.52665741852,176337.86114806347,175890.20485933183,142349.04632328756
2024-05-24,181123.53056179578,178503.61230929388,178382.9852546988,177930.13715598598,143345.6380589822
2024-05-28,182234.80835655506,179598.81567700848,179073.9398292276,178619.33765366196,143381.3027193413
2024-05-29,181338.84139395875,178715.80871023194,178486.17970418345,178033.0696331184,142325.00599358932
2024-05-30,178264.83044136147,175686.26275551826,175630.63426816819,175184.7733656247,141474.6090180792
2024-05-31,177405.64219636723,174839.50250901995,175376.8172436023,174931.60068814625,142610.34966540796
2024-06-03,179482.98665379453,176833.5663474768,176880.41512548534,176423.98207028618,142769.51459249333
2024-06-04,179942.9521002806,177286.74205964405,177441.55733991633,176983.67627898318,142984.06991698433
2024-06-05,183612.72542317313,180902.34438759982,180462.5054900798,179996.82898953964,144678.09510338597
2024-06-06,184753.64986158782,182026.42718307406,181162.2285962191,180694.74648732538,144649.18601317256
2024-06-07,183750.9123233858,181038.49145559044,180884.47921500867,180417.71382762736,144487.87038699785
2024-06-10,185990.72182803942,183245.23823438605,181961.96821301957,181492.42240704325,144860.7725812519
2024-06-11,187617.60428578133,184848.10562808267,185655.55384588835,185176.47688535287,145253.4005125525
2024-06-12,188468.65940354546,185686.5979801338,187717.20945420943,187232.81247128817,146488.58790243638
2024-06-13,186272.21269229532,183522.5738991676,186474.780474193,185993.58953109707,146832.0532275594
2024-06-14,186845.75144334882,184087.64641483116,186579.2772360457,186097.8166431062,146774.22185265968
2024-06-17,187670.66021103086,184900.37837355374,188188.8487600598,187703.23473019092,147899.1562266499
2024-06-18,185602.60457607888,182862.8501367468,186359.94837092474,185879.05374762032,148272.05842090395
2024-06-20,186978.30003322865,184218.23840184772,186531.36090786202,186050.02396115012,147897.5333064782
2024-06-21,187955.90521955877,185181.41276617898,187226.37137597663,186743.24098169093,147666.49808528408
2024-06-24,187482.37565294487,184714.87315929786,186696.06479463013,186214.30283592248,147213.87488552145
2024-06-25,190937.27974471293,188118.77802697362,189154.31357165193,188666.20819725894,147792.95391394908
2024-06-26,193067.3411118299,190217.39670448,191623.4077544112,191128.93097818372,148025.34816585612
2024-06-27,195479.50914716788,192593.9577606038,193475.49599106348,192976.2399729298,148159.65470592093
2024-06-28,191016.49531978925,188196.8242691951,189610.26003081247,189120.97810425443,147554.62214921866
2024-07-01,192640.85301562404,189713.7313321292,192528.350873727,192028.50020760187,147949.41397408157
2024-07-02,194636.00399551322,191678.56657367077,194758.89179110134,194253.25009545608,148866.0076203359
2024-07-03,194821.32571112053,191861.0723797569,194798.19035732708,194292.4466329966,149622.90856058724
2024-07-05,201396.39358214987,198336.2340084993,199957.33744161561,199438.19931020163,150438.16865465592
2024-07-08,199271.65535264454,196243.78055787642,198849.16145712917,198332.90042148586,150591.11898498613
2024-07-09,198837.15116118453,195815.87853112075,198486.07045411767,197970.75209148275,150702.71783711977
2024-07-10,200914.66255215267,197861.8227412702,200728.66413172544,200207.5234476583,152241.1010207112
2024-07-11,194483.73513497825,191528.61139414593,195022.6816384501,194516.35507987262,150907.00786166283
2024-07-12,192376.72977839626,189453.62137060438,194205.70045978506,193701.49498407415,151739.56590975693
2024-07-15,192487.44839502152,189562.6576500804,194688.3073734401,194182.8489321988,152168.41266928014
2024-07-16,190371.96656245308,187479.3199481375,193423.61425371203,192921.4392649881,153140.67379687188
2024-07-17,184558.7270287414,181754.41089689673,188151.6279257991,187663.14030242086,151007.80044045788
2024-07-18,184444.4203709107,181641.84109545688,186567.01069904075,186082.6371293733,149827.4624745891
2024-07-19,184245.2786376239,181445.7252628369,186256.60858888997,185773.0408989842,148757.6546085457
2024-07-22,187520.72686424255,184671.40400714058,188207.246906636,187718.61488278632,150363.0525202037
2024-07-23,188271.5554423508,185410.82396357195,189437.79878268013,188945.97194532817,150128.77145866613
2024-07-24,179372.82443490514,176647.3065833488,181855.3424178274,181383.20149087583,146653.4264528863
2024-07-25,175429.5400260882,172763.93923322708,178878.12984987075,178413.71849458246,145899.24357406076
2024-07-26,177756.52526888475,175055.5666126487,180931.68654789214,180461.94365738434,147517.33456868786
2024-07-29,178872.763399863,176154.84383016554,181770.81582775942,181298.89435249977,147637.3119111389
2024-07-30,178386.75967098962,175676.22478647588,181224.69156554728,180754.18796238292,146905.00546844932
2024-07-31,180589.69491810616,177845.68707379067,183597.33815355875,183120.67457981282,149225.13478483973
2024-08-01,181388.22721952124,178483.32495203763,183906.64840068854,183419.3928962546,147181.71995496462
2024-08-02,173511.6060872824,170732.8465961955,178602.55804410554,178129.3555782362,144476.24605633697
2024-08-05,167267.40595547462,164588.64629017335,171783.73457696772,171328.5983925353,140146.4665663271
2024-08-06,169444.59659453726,166730.96958353717,173230.9133813266,172771.94293726052,141597.55511694198
2024-08-07,169313.92143987367,166602.3871697251,173459.88305898843,173000.3059661864,140502.34789048746
2024-08-08,173265.80548395755,170490.98244862029,177268.84905754542,176799.1802162115,143739.88891045452
2024-08-09,175056.80603168186,172253.30042067857,179249.9925871302,178775.07476160643,144411.39522183273
2024-08-12,174675.96210385687,171878.55564496756,179110.6241533441,178636.07558057492,144417.60981858787
2024-08-13,178053.95365857735,175202.44922719407,182409.16972883258,181925.8817521198,146850.6970178248
2024-08-14,177388.9504702938,174548.09595428343,181759.35870458873,181277.7923839507,147412.21420276817
2024-08-15,181559.2009757917,178651.56059205942,185175.94887459654,184685.33039417412,149790.45197799004
2024-08-16,180577.7402772584,177685.8178232524,184655.9007388689,184166.6601113893,150088.5019272507
2024-08-19,182118.94167662377,179202.33713873455,186064.2669961187,185571.29494175993,151547.70507872416
2024-08-20,182509.29354825593,179586.4375901152,186496.01475493645,186001.89879700574,151246.95026251063
2024-08-21,183384.5543691018,180447.68125459933,187028.54541198062,186533.01852901714,151888.18845296258
2024-08-22,180549.62230500884,177658.1501556483,184493.47631996046,184004.6660314211,150531.40080045591
2024-08-23,180991.93398798245,178093.37829064034,185249.2609985178,184758.44827968028,152260.00870043546
2024-08-26,179651.3764727717,176774.28958090456,184296.4885384089,183808.2001634692,151779.82224669945
2024-08-27,178425.26006104145,175567.80921942537,183527.56033509137,183041.30921384986,152021.94082516388
2024-08-28,176763.47870385577,173932.6410140773,181961.02361964085,181478.9229934692,151113.46177976814
2024-08-29,177418.7070782287,174577.37601509513,182870.40309691313,182385.89309533403,151107.51107247183
2024-08-30,180512.08670770552,177621.21568468813,184927.47931307048,184437.51914577917,152632.64700523068
2024-09-03,176700.5933685447,173627.46118674809,180732.02444025085,180240.75133018557,149404.30253290338
2024-09-04,176238.56538478113,173173.4686772222,179632.54359611822,179144.2591394221,149164.8756269189
2024-09-05,177113.25945486897,174032.95028851312,181250.4077560269,180757.72555543363,148714.69340465034
2024-09-06,173532.85742587034,170514.81770914866,176450.75675697374,175971.12116215407,146147.84063873914
2024-09-09,174710.2479420213,171671.73134620854,177517.67442473432,177035.1386910906,147840.24290496905
2024-09-10,175824.95674632268,172767.0534159522,178988.89507412733,178502.3602089171,148501.4839163993
2024-09-11,178658.1172375357,175550.94029401112,182280.48735674378,181785.0051520526,150085.25608690723
2024-09-12,181044.0376234112,177895.36535391593,184940.34241819993,184437.63008773324,151210.19046089746
2024-09-13,181428.27630400765,178272.9214522283,185667.73285112742,185163.04329852026,152027.8915324602
2024-09-16,181260.43479583855,178107.99900126416,185191.09309433852,184687.69916322635,152218.93430617062
2024-09-17,182344.40438021292,179173.11645984583,186518.6417688981,186011.6392412014,152259.20383758607
2024-09-18,182787.80569281845,179608.80624858354,186897.3108197756,186389.2789785254,151818.1917740114
2024-09-19,188407.11515650488,185130.38609844624,191660.01693525902,191139.03891331435,154395.5869238023
2024-09-20,188111.42082037867,184839.83440368302,192095.49252969344,191573.3307803474,154095.900859897
2024-09-23,187856.72576944195,184589.56894487533,191955.34558163513,191433.5647854005,154528.79832261303
2024-09-24,187317.47016064066,184059.69193370084,191755.52284318014,191234.28521320774,154916.84777180318
2024-09-25,188072.8732106974,184801.95720431325,191730.69247310318,191209.52233804858,154628.50895462697
2024-09-26,188155.8998016598,184883.53981773282,191809.33479129485,191287.95088750526,155253.003358917
2024-09-27,187650.865478845,184387.28892456455,191142.7162553719,190623.14438109056,155058.43766093135
2024-09-30,189753.32857585847,186453.18651332875,192637.96429293515,192114.32797486745,155715.35088523699
2024-10-01,187218.6643577787,183912.77911217298,190942.7002742694,190417.13470470978,154263.4442772998
2024-10-02,186528.14768455407,183234.45550148137,190132.85986227792,189609.52336058408,154284.79293451807
2024-10-03,187213.9760685603,183908.17360821646,189987.90061268266,189464.96310812497,154025.3764020282
2024-10-04,189182.72686039543,185842.16042917653,192237.72455594048,191708.59446061892,155407.02244155543
